Department,Category,Title,Specific Destination & Description
Vienne (86),Foody,Pyramid Cheese,Sample Chabichou du Poitou goat cheese directly from a local farm or a market in Poitiers.
Vienne (86),Foody,Sweet Legacy,Taste the unique macaron and learn its history at the Maison du Macaron in Montmorillon.
Vienne (86),Relaxing,Riverside Chill,Stroll and relax along the Ilot Tison area by the Clain river in the city of Poitiers.
Vienne (86),Relaxing,Cliffside Village,Wander through the stunning medieval village of Angles-sur-l'Anglin (Plus Beaux Villages de France).
Vienne (86),Relaxing,Wetland Calm,Take a peaceful walk through the unique ecosystems of the Réserve Naturelle Nationale du Pinail (near Vouneuil-sur-Vienne).
Vienne (86),History & Culture,Ancient Murals,Visit the UNESCO-listed Saint-Savin-sur-Gartempe Abbey to see its famous Romanesque frescoes.
Vienne (86),History & Culture,Eagle Display,Explore the medieval town of Chauvigny and watch the spectacular falconry show at the Château des Évêques.
Vienne (86),History & Culture,Regional Antiquity,Discover local history and fine arts at the Musée Sainte-Croix in Poitiers.
Deux-Sèvres (79),Adventurous/Sporty,Green Glide,Rent a barque (flat-bottomed boat) or canoe from a loueur like Cardinaud in Coulon to navigate the Marais Poitevin.
Deux-Sèvres (79),Adventurous/Sporty,Gorge Plunge,Get an adrenaline rush with a Bungee Jumping experience at the Viaduc de Coquilleau (near Breuil-Barret) with a company like Elastic Crocodil Bungee.
Deux-Sèvres (79),Foody,Cream Gold,Visit the village of Échiré (near Niort) to see the famous Échiré Butter Dairy and buy products at the local shop (visitor centre info can be limited).
Deux-Sèvres (79),Foody,Black Dome,"Try Tourteau Fromagé, a distinctive local cheesecake, available at most bakeries (boulangeries) and markets in Niort."
Deux-Sèvres (79),Foody,Goat Delights,Sample artisanal goat cheeses like Mothais-sur-Feuille at a local farm like Chèvrerie de Bougon or a Niort market.
Deux-Sèvres (79),Relaxing,Niort Flow,Take a leisurely walk along the Sèvre Niortaise River and around the green spaces near the Donjon de Niort.
Deux-Sèvres (79),History & Culture,Niort Legacy,"Explore the impressive Donjon de Niort (Niort Keep), a 12th-century fortress and museum."
Deux-Sèvres (79),History & Culture,Ancient Wealth,"Tour the ancient, accessible Melle Silver Mines (Mines d'Argent des Rois Francs)."
Deux-Sèvres (79),Adventurous/Sporty,Zoodyssée,"Chizé National ForestFull summer opening hours for this fantastic European wildlife park. Perfect for a long, shaded forest walk to see bears, wolves, and lynxes."
Deux-Sèvres (79),History & Culture,Parthenay by Lantern Light,"ParthenayThe medieval town of Parthenay often runs special Nocturnal Lantern Tours (Visite Nocturne à la Lanterne) in August, offering a unique, atmospheric evening exploration of its cobbled streets and history."
Deux-Sèvres (79),History & Culture,Melle Romanesque Churches & Mines,MelleVisit the trio of remarkable Romanesque churches (a UNESCO World Heritage Site).
