ID,Department,Category,Title,Description,photoName,Coordinates,Link
17.7,Charente-Maritime (17),Relaxing,Atlantic Sand,Spend a leisurely day at a large beach like Plage de la Grande Côte (Royan) or Plage des Saumonards (Île d'Oléron).,17.7 - La Martiniere.jpg,"45.65854690842559, -1.1347501331821463",https://www.royanatlantique.fr/en/plages-charente-maritime/plage-de-la-grande-cote-saint-palais-sur-mer/
17.8,Charente-Maritime (17),Relaxing,Island Sanctuary,"Take a ferry to the car-free, peaceful Île d'Aix for a relaxed day trip.",17.8 - Ile Daix.jpg,"46.0206093221865, -1.1732860803901204",https://www.rochefort-ocean.com/en/explore/aix-island-pearl-of-the-estuary-of-the-charente
17.9,Charente-Maritime (17),Relaxing,Sea Wellness,Book a revitalizing thalassotherapy or spa treatment at Thalazur Thalassothérapie in Royan.,17.9 - Spa .jpg,"45.61857273250888, -1.0410110165726933",https://www.thalazur.fr/royan/thalasso/
17.1,Charente-Maritime (17),History & Culture,Medieval Harbour,"Climb the Tour Saint-Nicolas, Tour de la Chaîne, and Tour de la Lanterne in La Rochelle.",17.1 - Ile de Re cycle.jpg,"46.155937644437984, -1.1533915607226595",https://www.guide-charente-maritime.com/en/tourism/discover/tourist-sites/castles/la-rochelle-455/tour-saint-nicolas-13916.html
17.11,Charente-Maritime (17),History & Culture,Fortress Glory,Discover the UNESCO-listed Vauban Fortifications and the Citadel in Saint-Martin-de-Ré.,17.11 - Vauban fortifications.jpg,"46.20936474048796, -1.3594127917502588",https://www.slow-village.com/en/la-citadelle-de-saint-martin-de-re/
17.12,Charente-Maritime (17),History & Culture,Imperial Past,Explore the Gallo-Roman Amphitheatre and the Abbaye aux Dames in Saintes.,17.12 - Saintes gallo romain.jpg,"45.745972472793966, -0.644018189580745",https://en.saintes-tourisme.fr/gallo-roman-amphitheatre/
86.1,Vienne (86),Adventurous/Sporty,Screen Thrills,"Spend a day at the Futuroscope theme park, known for its cutting-edge cinematic attractions.",86.1 - Lac St Cyr.jpg,"46.66673113487078, 0.3674926411559794",https://www.futuroscope.com/en/
86.2,Vienne (86),Adventurous/Sporty,Aqua Sports,"Enjoy sailing, kayaking, or paddleboarding at the Haut-Poitou Sailing Center on the Lac de Saint-Cyr.",86.2 - Velo Chatelleraut.webp,"46.725137445853996, 0.4692863430098791",https://www.tourisme-vienne.com/en/offres/accessibles-aux-poussettes/centre-de-voile-du-haut-poitou/
86.3,Vienne (86),Adventurous/Sporty,Rural Roam,Rent a bike and follow the scenic routes of the Vélo Francette itinerary near Châtellerault.,86.3 - Velo Chatelleraut.webp,"46.81780283307282, 0.5256224228514297",https://cycling.lavelofrancette.com/
86.4,Vienne (86),Foody,Poitou Break,"Purchase the local cake, Broyé du Poitou, from a boulangerie in Poitiers or Montmorillon.",86.4 - Chabichou.webp,"46.6143067167649, 0.337784679780035",https://www.goulibeur.com/
86.5,Vienne (86),Foody,Pyramid Cheese,Sample Chabichou du Poitou goat cheese directly from a local farm or a market in Poitiers.,86.5 - Maison de Macaron.jpg,"46.58392807416946, 0.3440966239574481",https://www.jours-de-marche.fr/86000-poitiers/
86.7,Vienne (86),Foody,Sweet Legacy,Taste the unique macaron and learn its history at the Maison du Macaron in Montmorillon.,86.7 - Angles sur l'Anglin.jpg,"46.42463282177437, 0.8702332162770856",https://www.museedumacaron.com/en/
86.8,Vienne (86),Relaxing,Riverside Chill,Stroll and relax along the Ilot Tison area by the Clain river in the city of Poitiers.,86.8 - Reserve Naturelle pinail.jpg,"46.57420617446886, 0.33918504115087755",https://visitpoitiers.fr/en/activity/ilot-tison/
86.9,Vienne (86),Relaxing,Cliffside Village,Wander through the stunning medieval village of Angles-sur-l'Anglin (Plus Beaux Villages de France).,86.9 - Abbey SaintSavin.png,"46.70068541190145, 0.8839229850593844",https://www.experienceloire.com/angles-sur-l-anglin.htm
86.1,Vienne (86),Relaxing,Wetland Calm,Take a peaceful walk through the unique ecosystems of the Réserve Naturelle Nationale du Pinail (near Vouneuil-sur-Vienne).,86.1 - Lac St Cyr.jpg,"46.711591413324506, 0.5176774662928123",https://www.reserve-pinail.org/
86.11,Vienne (86),History & Culture,Ancient Murals,Visit the UNESCO-listed Saint-Savin-sur-Gartempe Abbey to see its famous Romanesque frescoes.,86.11 - MuseeSainteCro.jpeg,"46.56486969986065, 0.865833296971294",https://whc.unesco.org/en/list/230/
86.12,Vienne (86),History & Culture,Falconry Display,Explore the medieval town of Chauvigny and watch the spectacular falconry show at the Château des Évêques.,86.12 - Falconry Show.jpg,"46.56922726182082, 0.6493183816354259",https://www.geantsduciel.com/le-spectacle/
86.13,Vienne (86),History & Culture,Regional Antiquity,Discover local history and fine arts at the Musée Sainte-Croix in Poitiers.,86.13 - Museum.jpg,"46.57956513434199, 0.3480920239572121",https://www.musee-saintecroix.fr/
79.1,Deux-Sèvres (79),Adventurous/Sporty,Green Glide,Rent a barque (flat-bottomed boat) or canoe from a loueur like Cardinaud in Coulon to navigate the Marais Poitevin.,79.1 - Barque Marais Poitevin.jpg,"46.32073356243409, -0.5796078318778448",https://www.marais-poitevin.com/quoi-faire/embarcadere-cardinaud
79.2,Deux-Sèvres (79),Adventurous/Sporty,Gorge Plunge,Get an adrenaline rush with a Bungee Jumping experience at the Viaduc de Coquilleau (near Breuil-Barret) with a company like Elastic Crocodil Bungee.,79.2 - bungee.jpg,"46.63564190821677, -0.7047065895322859",https://www.manawa.com/en-GB/activity/france/nantes/bungee-jumping/bungee-jumping-at-the-coquilleau-viaduct-52-metres-in-vendee-near-nantes/11189
79.3,Deux-Sèvres (79),Foody,Cream Gold,Visit the village of Échiré (near Niort) to see the famous Échiré Butter Dairy and buy products at the local shop (visitor centre info can be limited).,79.3 - EchireButter.webp,"46.39179599983802, -0.415555758690262",https://www.niortmaraispoitevin.com/en/explorer-la-destination/a-proximite/les-villages-de-la-vallee-de-la-sevre-niortaise/echire/
79.4,Deux-Sèvres (79),Foody,Black Dome,"Try Tourteau Fromagé, a distinctive local cheesecake, available at most bakeries (boulangeries) and markets in Niort.",79.4 - Tourteau.webp,"46.34405308586563, -0.40131985124253156",https://www.cathala-chocolatier-patissier.fr/
79.5,Deux-Sèvres (79),Foody,Goat Delights,Sample artisanal goat cheeses like Mothais-sur-Feuille at a local farm like Chèvrerie de Bougon or a Niort market.,79.5 - mothais.webp,"46.370121524199874, -0.06716887077092999",https://www.poitou-chevre.fr/qui-sommes-nous
79.6,Deux-Sèvres (79),Relaxing,Niort Flow,Take a leisurely walk along the Sèvre Niortaise River and around the green spaces near the Donjon de Niort.,79.6 - Donjon de Niort.webp,"46.33254699056392, -0.49217843372790643",https://www.niortmaraispoitevin.com/en/circuits-et-randonnees/niort-plage-parcours-canoe-kayak/
79.7,Deux-Sèvres (79),History & Culture,Niort Legacy,"Explore the impressive Donjon de Niort (Niort Keep), a 12th-century fortress and museum.",79.7 - Mine D'argent.jpeg,"46.32544966753826, -0.4651218760566856",https://www.niortmaraispoitevin.com/en/explorer-la-destination/nos-sites-touristiques-incontournables/le-donjon-de-niort/
79.8,Deux-Sèvres (79),History & Culture,Ancient Wealth,"Tour the ancient, accessible Melle Silver Mines (Mines d'Argent des Rois Francs).",79.8 - Zoodyssee.webp,"46.23865243397586, -0.13711123050524474",https://www.niortmaraispoitevin.com/en/patrimoine-culturel/mines-dargent-des-rois-francs/
79.9,Deux-Sèvres (79),Adventurous/Sporty,Zoodyssée,"Chizé National ForestFull summer opening hours for this fantastic European wildlife park. Perfect for a long, shaded forest walk to see bears, wolves, and lynxes.",79.9 - Nocture a la lanterne.jpeg,"46.146106030392566, -0.3954292472211976",https://www.tripadvisor.co.uk/Attraction_Review-g11931162-d2083344-Reviews-Zoodyssee-Villiers_en_Bois_Deux_Sevres_Nouvelle_Aquitaine.html
79.1,Deux-Sèvres (79),History & Culture,Parthenay by Lantern Light,"ParthenayThe medieval town of Parthenay often runs special Nocturnal Lantern Tours (Visite Nocturne à la Lanterne) in August, offering a unique, atmospheric evening exploration of its cobbled streets and history.",79.1 - Barque Marais Poitevin.jpg,"46.652055256554945, -0.251660880784604",https://www.cc-parthenay-gatine.fr/agenda/famille/visite-nocturne-a-la-lanterne-parthenay-2-1-9780
79.11,Deux-Sèvres (79),History & Culture,Melle Romanesque Churches & Mines,MelleVisit the trio of remarkable Romanesque churches (a UNESCO World Heritage Site).,79.11 - Mellevisite.jpg,"46.220128673845366, -0.15010241839081165",https://www.tourisme-deux-sevres.com/en/activite/eglise-saint-hilaire-de-melle/
